State,Participation,EvBasedReadingAndWriting,Math,Total
Alabama,0.06,595,571,1166
Alaska,0.43,562,544,1106
Arizona,0.29,577,572,1149
Arkansas,0.05,592,576,1169
California,0.60,540,536,1076
Colorado,1.00,519,506,1025
Connecticut,1.00,535,519,1053
Delaware,1.00,505,492,998
District of Columbia,0.92,497,480,977
Florida,0.97,522,493,1014
Georgia,0.70,542,522,1064
Hawaii,0.56,550,549,1099
Idaho,1.00,508,493,1001
Illinois,0.99,513,506,1019
Indiana,0.67,546,539,1086
Iowa,0.03,634,631,1265
Kansas,0.04,633,631,1265
Kentucky,0.04,630,618,1248
Louisiana,0.04,615,595,1210
Maine,0.99,512,501,1013
Maryland,0.76,545,535,1080
Massachusetts,0.80,562,563,1125
Michigan,1.00,511,499,1011
Minnesota,0.04,643,655,1298
Mississippi,0.03,630,606,1236
Missouri,0.04,633,629,1262
Montana,0.10,606,592,1198
Nebraska,0.03,629,623,1252
Nevada,0.23,574,566,1140
New Hampshire,0.96,535,528,1063
New Jersey,0.82,547,547,1094
New Mexico,0.16,552,540,1093
New York,0.79,534,534,1068
North Carolina,0.52,554,543,1098
North Dakota,0.02,640,643,1283
Ohio,0.18,552,547,1099
Oklahoma,0.08,541,521,1062
Oregon,0.48,564,553,1117
Pennsylvania,0.70,547,539,1086
Rhode Island,0.97,513,505,1018
South Carolina,0.55,547,523,1070
South Dakota,0.03,622,618,1241
Tennessee,0.06,624,607,1231
Texas,0.66,520,512,1032
Utah,0.04,618,612,1230
Vermont,0.64,565,554,1120
Virginia,0.68,567,550,1117
Washington,0.69,543,538,1081
West Virginia,0.28,513,486,999
Wisconsin,0.03,641,653,1294
Wyoming,0.03,633,625,1257
